position,velocity
3.0,2.0
3.440331184845941,-0.09542999333034752
3.0463753906540494,-1.3476515857068754
2.2193844935302662,-1.847609206980923
1.2909432476172589,-1.7951063400172516
0.47893208945769317,-1.417679073805296
-0.10578835483504584,-0.9152088352634751
-0.4401431792263204,-0.43484802713486703
-0.5580586812830937,-0.05938530041913276
-0.522450895738618,0.1797730634058945
-0.39994803103638554,0.29022225117000144
-0.24881401665756772,0.30140070905463523
-0.10909726782023577,0.25007117651890315
-0.003394422818428215,0.17077470440740733
0.061404503319602385,0.08982036181620257
0.08885528885284544,0.023417547693748382
0.0884466987008656,-0.021386699414656152
0.07112218458201576,-0.04444065261958716
0.04695608418310389,-0.049886497112396726
0.023223197226889786,-0.04356103776673308
