mx,mv
3,2
3.543556638264518,-0.11092691834907153
3.1928817972513266,-1.3944253985040682
2.165091900320768,-1.9145208256981725
1.1307014793425456,-1.7867592808389372
0.36281254258398776,-1.363799771452509
-0.14987312244245254,-0.869031127553361
-0.47610708038732796,-0.3832870123929969
-0.5741635282052105,-0.016802762678539373
-0.5183705194453714,0.2070431850316362
-0.38848880418104076,0.303458273834155
-0.23492920709041906,0.3042919914530567
-0.0988660491177999,0.2477838306354381
0.005518068232342232,0.16538017885299483
0.06648775758707628,0.08426252808150521
0.09146161872326107,0.018491778292984484
0.0887551137127267,-0.024861798119489832
0.0700772603996827,-0.04636818326694933
0.04518311031185055,-0.05045258370908405
0.02150562298829601,-0.043227431128666394
